Feature,Importance
lifetime_spend,0.10423981783544364
spend_trend,0.10332195962277552
previous_spend,0.09925480861991011
lifetime_orders,0.08889759739367237
customer_age_days,0.08849308865385798
previous_aov,0.07558952568589426
monetary_180d,0.06889174007429694
aov_trend,0.06459640975921846
recent_aov,0.061707876949987576
recency_days,0.05620850788281869
aov_180d,0.055820596200133264
previous_orders,0.05462251643721803
frequency_trend,0.034199423872256995
frequency_180d,0.027363913190648223
recent_orders,0.016792217821867964
